MATCH: phishing_mails/213 -> similarity=392.00, yara_score=0.00, total=392.00
MATCH: phishing_mails/214 -> similarity=395.00, yara_score=0.00, total=395.00
MATCH: phishing_mails/215 -> similarity=520.00, yara_score=0.00, total=520.00
MATCH: phishing_mails/216 -> similarity=514.00, yara_score=0.00, total=514.00
MATCH: phishing_mails/217 -> similarity=481.00, yara_score=0.00, total=481.00
MATCH: phishing_mails/218 -> similarity=532.00, yara_score=0.00, total=532.00
MATCH: phishing_mails/219 -> similarity=453.00, yara_score=0.00, total=453.00
MATCH: phishing_mails/220 -> similarity=760.00, yara_score=0.00, total=760.00
MATCH: phishing_mails/221 -> similarity=745.00, yara_score=0.00, total=745.00
MATCH: phishing_mails/222 -> similarity=689.00, yara_score=0.00, total=689.00
MATCH: phishing_mails/223 -> similarity=651.00, yara_score=0.00, total=651.00
MATCH: phishing_mails/224 -> similarity=633.00, yara_score=0.00, total=633.00
MATCH: phishing_mails/225 -> similarity=287.00, yara_score=0.00, total=287.00
MATCH: phishing_mails/226 -> similarity=2372.00, yara_score=0.00, total=2372.00
MATCH: phishing_mails/227 -> similarity=462.00, yara_score=0.00, total=462.00
MATCH: phishing_mails/228 -> similarity=596.00, yara_score=0.00, total=596.00
MATCH: phishing_mails/229 -> similarity=626.00, yara_score=0.00, total=626.00
MATCH: phishing_mails/230 -> similarity=2086.00, yara_score=0.00, total=2086.00
MATCH: phishing_mails/231 -> similarity=818.00, yara_score=0.00, total=818.00
MATCH: phishing_mails/232 -> similarity=544.00, yara_score=0.00, total=544.00
MATCH: phishing_mails/233 -> similarity=498.00, yara_score=0.00, total=498.00
MATCH: phishing_mails/234 -> similarity=661.00, yara_score=0.00, total=661.00
MATCH: phishing_mails/235 -> similarity=480.00, yara_score=0.00, total=480.00
MATCH: phishing_mails/236 -> similarity=1016.00, yara_score=0.00, total=1016.00
MATCH: phishing_mails/237 -> similarity=848.00, yara_score=0.00, total=848.00
MATCH: phishing_mails/238 -> similarity=871.00, yara_score=0.00, total=871.00
MATCH: phishing_mails/239 -> similarity=686.00, yara_score=0.00, total=686.00
MATCH: phishing_mails/240 -> similarity=690.00, yara_score=0.00, total=690.00
MATCH: phishing_mails/241 -> similarity=369.00, yara_score=0.00, total=369.00
MATCH: phishing_mails/242 -> similarity=297.00, yara_score=0.00, total=297.00
MATCH: phishing_mails/243 -> similarity=527.00, yara_score=0.00, total=527.00
MATCH: phishing_mails/244 -> similarity=290.00, yara_score=0.00, total=290.00
MATCH: phishing_mails/245 -> similarity=331.00, yara_score=0.00, total=331.00
MATCH: phishing_mails/246 -> similarity=635.00, yara_score=0.00, total=635.00
