MATCH: phishing_mails/191 -> similarity=1470.00, yara_score=0.00, total=1470.00
MATCH: phishing_mails/192 -> similarity=1986.00, yara_score=0.00, total=1986.00
MATCH: phishing_mails/193 -> similarity=1278.00, yara_score=0.00, total=1278.00
MATCH: phishing_mails/194 -> similarity=1476.00, yara_score=0.00, total=1476.00
NO MATCH: phishing_mails/195 -> similarity=665.00, yara_score=0.00, total=665.00
MATCH: phishing_mails/196 -> similarity=2137.00, yara_score=0.00, total=2137.00
MATCH: phishing_mails/197 -> similarity=2199.00, yara_score=0.00, total=2199.00
MATCH: phishing_mails/198 -> similarity=1489.00, yara_score=0.00, total=1489.00
MATCH: phishing_mails/199 -> similarity=791.00, yara_score=0.00, total=791.00
NO MATCH: phishing_mails/200 -> similarity=695.00, yara_score=0.00, total=695.00
NO MATCH: phishing_mails/201 -> similarity=565.00, yara_score=0.00, total=565.00
NO MATCH: phishing_mails/202 -> similarity=693.00, yara_score=0.00, total=693.00
NO MATCH: phishing_mails/203 -> similarity=528.00, yara_score=0.00, total=528.00
NO MATCH: phishing_mails/204 -> similarity=717.00, yara_score=0.00, total=717.00
MATCH: phishing_mails/205 -> similarity=1028.00, yara_score=0.00, total=1028.00
NO MATCH: phishing_mails/206 -> similarity=587.00, yara_score=0.00, total=587.00
NO MATCH: phishing_mails/207 -> similarity=727.00, yara_score=0.00, total=727.00
MATCH: phishing_mails/208 -> similarity=922.00, yara_score=0.00, total=922.00
NO MATCH: phishing_mails/209 -> similarity=390.00, yara_score=0.00, total=390.00
MATCH: phishing_mails/210 -> similarity=1284.00, yara_score=0.00, total=1284.00
NO MATCH: phishing_mails/211 -> similarity=464.00, yara_score=0.00, total=464.00
MATCH: phishing_mails/212 -> similarity=5417.00, yara_score=0.00, total=5417.00
NO MATCH: phishing_mails/213 -> similarity=662.00, yara_score=0.00, total=662.00
MATCH: phishing_mails/214 -> similarity=796.00, yara_score=0.00, total=796.00
MATCH: phishing_mails/215 -> similarity=1188.00, yara_score=0.00, total=1188.00
MATCH: phishing_mails/216 -> similarity=14062.00, yara_score=0.00, total=14062.00
MATCH: phishing_mails/217 -> similarity=1281.00, yara_score=0.00, total=1281.00
NO MATCH: phishing_mails/218 -> similarity=375.00, yara_score=0.00, total=375.00
MATCH: phishing_mails/219 -> similarity=1613.00, yara_score=0.00, total=1613.00
MATCH: phishing_mails/220 -> similarity=759.00, yara_score=0.00, total=759.00
NO MATCH: phishing_mails/221 -> similarity=605.00, yara_score=0.00, total=605.00
NO MATCH: phishing_mails/222 -> similarity=678.00, yara_score=0.00, total=678.00
MATCH: phishing_mails/223 -> similarity=773.00, yara_score=0.00, total=773.00
MATCH: phishing_mails/224 -> similarity=8342.00, yara_score=0.00, total=8342.00
NO MATCH: phishing_mails/225 -> similarity=629.00, yara_score=0.00, total=629.00
NO MATCH: phishing_mails/226 -> similarity=430.00, yara_score=0.00, total=430.00
MATCH: phishing_mails/227 -> similarity=1608.00, yara_score=0.00, total=1608.00
MATCH: phishing_mails/228 -> similarity=2190.00, yara_score=0.00, total=2190.00
MATCH: phishing_mails/229 -> similarity=1020.00, yara_score=0.00, total=1020.00
MATCH: phishing_mails/230 -> similarity=2412.00, yara_score=0.00, total=2412.00
MATCH: phishing_mails/231 -> similarity=1504.00, yara_score=0.00, total=1504.00
MATCH: phishing_mails/232 -> similarity=1916.00, yara_score=0.00, total=1916.00
MATCH: phishing_mails/233 -> similarity=1486.00, yara_score=0.00, total=1486.00
